Id,Label,Role,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
61,61,,0,1,1,2,4,1,5,4,0.33642,0.350917,0,0.023862,0.023242,0.004225,0,32,0,0.055914
60,60,,5,0,1,1,0,9,9,5,0.297814,0.311315,0,0,0.011095,0.002486,0,39,0,0
59,59,,6,3,1,4,7,4,11,4,0.340625,0.36315,0.004746,0.028589,0.005893,0.015597,0,32,0.5,0.083959
58,58,,4,2,2,4,25,32,57,5,0.318713,0.339755,0.000204,0.013405,0.021426,0.009763,0,32,0.333333,0.054407
57,57,,0,1,0,1,2,0,2,4,0.405204,0.42737,0,0.073629,0,0.003823,0,7,0,0.125248
56,56,,0,1,0,1,1,0,1,4,0.405204,0.42737,0,0.073629,0,0.003823,0,8,0,0.125248
55,55,,0,1,0,1,9,0,9,4,0.405204,0.42737,0,0.073629,0,0.003823,0,9,0,0.125248
54,54,,0,1,1,2,2,2,4,4,0.405204,0.42737,0,0.073629,0.047405,0.003823,0,32,0,0.125248
53,53,,0,0,1,1,0,1,1,4,0.405204,0.42737,0,0,0.047405,0.002486,0,36,0,0
52,52,,1,3,1,4,9,4,13,4,0.411321,0.438838,0,0.096272,0.019188,0.008554,0,32,1,0.192757
51,51,,2,1,2,3,1,2,3,4,0.411321,0.439602,0,0.073629,0.059508,0.003823,0,32,0.666667,0.125248
50,50,,0,1,1,2,2,1,3,4,0.405204,0.42737,0,0.073629,0.047405,0.003823,0,32,0,0.125248
49,49,,1,1,4,5,3,5,8,4,0.416031,0.446483,0,0.073629,0.121761,0.003823,0,32,1,0.125248
48,48,,0,1,0,1,2,0,2,4,0.405204,0.42737,0,0.073629,0,0.003823,0,28,0,0.125248
47,47,,0,1,1,2,2,2,4,4,0.405204,0.42737,0,0.073629,0.047405,0.003823,0,32,0,0.125248
46,46,,5,2,2,4,33,13,46,5,0.308782,0.32737,0,0.020744,0.027865,0.006826,0,32,1,0.063244
45,45,,3,1,1,2,6,1,7,5,0.311429,0.328899,0,0.012813,0.012699,0.003768,0,32,0,0.030054
44,44,,3,1,1,2,22,2,24,5,0.311429,0.328899,0,0.012813,0.012699,0.003768,0,32,0,0.030054
43,43,,3,1,2,3,1,2,3,5,0.334356,0.353517,0,0.012813,0.026156,0.003768,0,32,1,0.030054
42,42,,3,2,1,3,5,2,7,5,0.37457,0.401682,0.003064,0.019795,0.024516,0.005365,0,32,0.5,0.061838
41,41,,3,6,8,14,57,53,110,4,0.484444,0.5237,0.069591,0.120815,0.06268,0.015036,0,32,0.181818,0.247623
40,40,,5,1,0,1,1,0,1,5,0.326347,0.344343,0,0.024744,0,0.003366,0,20,0,0.04654
39,39,,5,1,0,1,9,0,9,5,0.326347,0.344343,0,0.024744,0,0.003366,0,22,0,0.04654
38,38,,5,1,1,2,2,1,3,5,0.326347,0.344343,0,0.024744,0.018639,0.003366,0,32,0,0.04654
37,37,,3,7,11,18,48,155,203,4,0.450413,0.499235,0.074513,0.11401,0.115035,0.016588,0,32,0.127273,0.228103
36,36,,5,1,0,1,8,0,8,5,0.30791,0.322783,0,0.013218,0,0.004383,0,24,0,0.040879
35,35,,2,3,0,3,3,0,3,4,0.409774,0.438073,0.000071,0.101975,0,0.010009,0,17,0.666667,0.201283
34,34,,2,2,2,4,6,2,8,4,0.406716,0.431957,0,0.086925,0.060635,0.005198,0,32,1,0.155009
33,33,Was taking possession of the cocaine in the US to hand it to Brebner.,4,0,1,1,0,1,1,5,0.347134,0.368807,0,0,0.024516,0.002486,0,34,0,0
32,32,,4,0,2,2,0,2,2,4,0.441296,0.462538,0,0,0.07192,0.002486,0,33,1,0
31,31,,3,2,2,4,14,2,16,4,0.390681,0.423547,0.000255,0.061821,0.027604,0.007921,0,32,0.5,0.167894
30,30,,4,2,0,2,2,0,2,5,0.348243,0.373394,0,0.026483,0,0.008353,0,15,1,0.080484
29,29,,4,1,1,2,3,4,7,5,0.347134,0.368807,0,0.023424,0.024516,0.005862,0,32,0,0.070442
28,28,,0,1,0,1,3,0,3,4,0.405204,0.42737,0,0.073629,0,0.003823,0,30,0,0.125248
27,27,,3,4,1,5,11,4,15,5,0.3879,0.419266,0.006072,0.067962,0.024516,0.009621,0,32,0.5,0.17882
26,26,,4,1,0,1,2,0,2,5,0.347134,0.368807,0,0.023424,0,0.005862,0,16,0,0.070442
25,25,,4,1,1,2,2,4,6,5,0.347134,0.368807,0,0.023424,0.024516,0.005862,0,32,0,0.070442
24,24,,4,3,1,4,8,1,9,5,0.351613,0.38104,0.00157,0.036318,0.017381,0.014797,0,32,0.666667,0.122827
23,23,,4,1,1,2,1,6,7,5,0.347134,0.368807,0,0.023424,0.024516,0.005862,0,32,0,0.070442
